Date,Location,ShortName,LongName,Census2019,Administered_Dose2,Series_Complete_18Plus,Series_Complete_Pop_Pct
2021-03-04,MH,MHA,Marshall Islands,58413,2668,,
2021-03-04,MI,MIA,Michigan,9986857,890515,,
2021-03-04,MN,MNA,Minnesota,5639632,501368,,
2021-03-04,MO,MOA,Missouri,6137428,495859,,
2021-03-04,MP,MPA,Northern Mariana Islands,56882,8142,,
2021-03-04,MS,MSA,Mississippi,2976149,237488,,
2021-03-04,MT,MTA,Montana,1068778,101513,,
2021-03-04,NC,NCA,North Carolina,10488084,943505,,
2021-03-04,ND,NDA,North Dakota,762062,85789,,
2021-03-04,NE,NEA,Nebraska,1934408,177640,,
2021-03-04,NH,NHA,New Hampshire,1359711,102788,,
2021-03-04,NJ,NJA,New Jersey,8882190,766848,,
2021-03-04,NM,NMA,New Mexico,2096829,259543,,
2021-03-04,NV,NVA,Nevada,3080156,255738,,
2021-03-04,NY,NYA,New York State,19453561,1585561,,
2021-03-04,OH,OHA,Ohio,11689100,1003486,,
2021-03-04,OK,OKA,Oklahoma,3956971,427987,,
2021-03-04,OR,ORA,Oregon,4217737,388626,,
2021-03-04,PA,PAA,Pennsylvania,12801989,946761,,
2021-03-04,PR,PRA,Puerto Rico,3193694,216614,,
2021-03-04,RI,RIA,Rhode Island,1059361,83435,,
2021-03-04,RP,RPA,Republic of Palau,17907,3099,,
2021-03-04,SC,SCA,South Carolina,5148714,403268,,
2021-03-04,SD,SDA,South Dakota,884659,100712,,
2021-03-04,TN,TNA,Tennessee,6829174,509424,,
2021-03-04,TX,TXA,Texas,28995881,2260140,,
2021-03-04,UT,UTA,Utah,3205958,196689,,
2021-03-04,VA,VAA,Virginia,8535519,794630,,
2021-03-04,VA2,VA2,Veterans Health,0,879401,,
2021-03-04,VI,VIA,Virgin Islands,104680,7187,,
2021-03-04,VT,VTA,Vermont,623989,61060,,
2021-03-04,WA,WAA,Washington,7614893,683690,,
2021-03-04,WI,WIA,Wisconsin,5822434,556340,,
2021-03-04,WV,WVA,West Virginia,1792147,217666,,
2021-03-04,WY,WYA,Wyoming,578759,58073,,
2021-03-04,US,USA,United States,331996199,27795980,,
2021-03-04,LTC,LTC,Long Term Care,,,,
2021-03-05,AK,AKA,Alaska,731545,106597,,
2021-03-05,AL,ALA,Alabama,4903185,374826,,
2021-03-05,AR,ARA,Arkansas,3017804,256589,,
2021-03-05,AS,ASA,American Samoa,55689,8208,,
2021-03-05,AZ,AZA,Arizona,7278717,671617,,
2021-03-05,BP2,BP2,Bureau of Prisons,0,27041,,
2021-03-05,CA,CAA,California,39512223,3128908,,
2021-03-05,CO,COA,Colorado,5758736,526306,,
2021-03-05,CT,CTA,Connecticut,3565287,316991,,
2021-03-05,DC,DCA,District of Columbia,705749,73279,,
2021-03-05,DD2,DD2,Dept of Defense,0,333385,,
2021-03-05,DE,DEA,Delaware,973764,92003,,
2021-03-05,FL,FLA,Florida,21477737,1929985,,
2021-03-05,FM,FMA,Federated States of Micronesia,103643,5979,,
2021-03-05,GA,GAA,Georgia,10617423,847033,,
2021-03-05,GU,GUA,Guam,165768,20827,,
2021-03-05,HI,HIA,Hawaii,1415872,158777,,
2021-03-05,IA,IAA,Iowa,3155070,216336,,
2021-03-05,ID,IDA,Idaho,1787065,150186,,
2021-03-05,IH2,IH2,Indian Health Svc,2082813,198047,,
2021-03-05,IL,ILA,Illinois,12671821,971371,,
2021-03-05,IN,INA,Indiana,6732219,651592,,
2021-03-05,KS,KSA,Kansas,2913314,224917,,
2021-03-05,KY,KYA,Kentucky,4467673,390088,,
2021-03-05,LA,LAA,Louisiana,4648794,424563,,
2021-03-05,MA,MAA,Massachusetts,6892503,611282,,
2021-03-05,MD,MDA,Maryland,6045680,550058,,
2021-03-05,ME,MEA,Maine,1344212,125573,,
2021-03-05,MH,MHA,Marshall Islands,58413,2869,,
2021-03-05,MI,MIA,Michigan,9986857,916288,,
2021-03-05,MN,MNA,Minnesota,5639632,521381,,
2021-03-05,MO,MOA,Missouri,6137428,513857,,
2021-03-05,MP,MPA,Northern Mariana Islands,56882,8292,,
2021-03-05,MS,MSA,Mississippi,2976149,247826,,
2021-03-05,MT,MTA,Montana,1068778,107045,,
2021-03-05,NC,NCA,North Carolina,10488084,949615,,
2021-03-05,ND,NDA,North Dakota,762062,89500,,
2021-03-05,NE,NEA,Nebraska,1934408,187246,,
2021-03-05,NH,NHA,New Hampshire,1359711,105441,,
2021-03-05,NJ,NJA,New Jersey,8882190,794448,,
2021-03-05,NM,NMA,New Mexico,2096829,267819,,
2021-03-05,NV,NVA,Nevada,3080156,263586,,
2021-03-05,NY,NYA,New York State,19453561,1616099,,
2021-03-05,OH,OHA,Ohio,11689100,1025158,,
2021-03-05,OK,OKA,Oklahoma,3956971,437663,,
2021-03-05,OR,ORA,Oregon,4217737,400819,,
2021-03-05,PA,PAA,Pennsylvania,12801989,984830,,
2021-03-05,PR,PRA,Puerto Rico,3193694,216886,,
2021-03-05,RI,RIA,Rhode Island,1059361,86212,,
2021-03-05,RP,RPA,Republic of Palau,17907,3099,,
2021-03-05,SC,SCA,South Carolina,5148714,416637,,
2021-03-05,SD,SDA,South Dakota,884659,105483,,
2021-03-05,TN,TNA,Tennessee,6829174,531690,,
2021-03-05,TX,TXA,Texas,28995881,2324593,,
2021-03-05,UT,UTA,Utah,3205958,206238,,
2021-03-05,VA,VAA,Virginia,8535519,818962,,
2021-03-05,VA2,VA2,Veterans Health,0,905414,,
2021-03-05,VI,VIA,Virgin Islands,104680,7458,,
2021-03-05,VT,VTA,Vermont,623989,61881,,
2021-03-05,WA,WAA,Washington,7614893,708708,,
2021-03-05,WI,WIA,Wisconsin,5822434,581022,,
2021-03-05,WV,WVA,West Virginia,1792147,224165,,
2021-03-05,WY,WYA,Wyoming,578759,60052,,
2021-03-05,US,USA,United States,331996199,28701201,,
2021-03-05,LTC,LTC,Long Term Care,,,,
2021-03-06,AK,AKA,Alaska,731545,110078,,
2021-03-06,AL,ALA,Alabama,4903185,393619,,
2021-03-06,AR,ARA,Arkansas,3017804,264478,,
2021-03-06,AS,ASA,American Samoa,55689,8208,,
2021-03-06,AZ,AZA,Arizona,7278717,674523,,
2021-03-06,BP2,BP2,Bureau of Prisons,0,27625,,
2021-03-06,CA,CAA,California,39512223,3263993,,
2021-03-06,CO,COA,Colorado,5758736,549267,,
2021-03-06,CT,CTA,Connecticut,3565287,320257,,
2021-03-06,DC,DCA,District of Columbia,705749,79089,,
2021-03-06,DD2,DD2,Dept of Defense,0,345622,,
2021-03-06,DE,DEA,Delaware,973764,96374,,
2021-03-06,FL,FLA,Florida,21477737,2006907,,
2021-03-06,FM,FMA,Federated States of Micronesia,103643,6343,,
2021-03-06,GA,GAA,Georgia,10617423,872270,,
2021-03-06,GU,GUA,Guam,165768,20853,,
2021-03-06,HI,HIA,Hawaii,1415872,164636,,
2021-03-06,IA,IAA,Iowa,3155070,250490,,
2021-03-06,ID,IDA,Idaho,1787065,157533,,
2021-03-06,IH2,IH2,Indian Health Svc,2082813,209045,,
2021-03-06,IL,ILA,Illinois,12671821,1036845,,
